Complaint ID,Consumer disputed?
675956,Yes
1858795,Yes
32637,Yes
1731374,No
501487,Yes
631565,No
1283963,Yes
1902970,No
1160691,No
359929,No
1556011,Yes
1296392,Yes
1726159,No
709197,Yes
1938442,No
1820696,Yes
404613,Yes
461579,No
1804301,No
991776,Yes
905800,Yes
1084080,Yes
186053,No
315404,No
200409,Yes
204816,Yes
432696,No
1787512,Yes
25867,Yes
679290,Yes
1572807,No
2021841,Yes
1223765,Yes
557857,No
894554,Yes
1086572,Yes
1512640,No
1059209,Yes
921043,No
455731,Yes
2001099,No
778105,No
464764,No
1626654,No
243672,Yes
823986,Yes
704162,Yes
153325,Yes
1007831,No
1837953,Yes
1787807,No
694132,No
1730350,Yes
154325,Yes
1450016,No
1632506,Yes
1093824,Yes
241434,No
289879,Yes
38706,Yes
370223,No
29853,Yes
1106182,Yes
1743290,Yes
1462125,Yes
1559117,No
1608474,No
119057,Yes
1398598,Yes
427117,Yes
8840,No
779982,No
111824,Yes
1453911,Yes
163892,Yes
321501,Yes
1603324,Yes
1812269,Yes
1485298,No
249447,Yes
112748,Yes
1295307,No
1876423,Yes
38741,Yes
291555,No
2005040,No
1397786,No
1520904,Yes
171111,Yes
1860671,No
1539530,Yes
1974710,Yes
1355221,No
970702,Yes
210254,Yes
928013,Yes
1170722,No
1790456,Yes
1591791,No
1277580,No
636744,Yes
44190,Yes
1440236,No
1221171,Yes
1250490,Yes
620004,Yes
341054,No
1117672,No
674358,No
1027174,No
114554,Yes
1097394,No
541329,No
1741537,Yes
743931,Yes
1910921,Yes
374325,No
654934,Yes
169933,Yes
148586,No
1285550,Yes
137145,No
899531,No
316133,Yes
1059970,No
1577321,No
957671,No
851199,No
1955836,No
1441974,No
988775,Yes
1113436,No
1203987,No
1735151,Yes
1083991,Yes
1466819,Yes
1083262,No
55602,Yes
1547258,Yes
759923,Yes
516498,Yes
1934265,Yes
912221,Yes
1780090,Yes
1262988,Yes
1670730,No
1651134,Yes
811758,No
681617,No
1704029,Yes
911345,Yes
125199,Yes
1600689,Yes
288323,No
775941,Yes
1492909,No
1476497,Yes
30966,Yes
587431,No
1630476,Yes
1974579,Yes
592825,Yes
1749433,Yes
2009840,No
120629,Yes
118070,Yes
1429138,No
1332736,No
1941769,No
811471,No
1497155,Yes
1005051,No
891596,No
1993830,No
138333,No
228804,Yes
941029,No
1577465,Yes
1912489,No
502279,No
1893802,Yes
757823,Yes
1751922,No
1925095,Yes
1090801,No
682354,No
1603103,No
1388651,Yes
176854,No
84650,No
57449,No
1693267,No
58295,Yes
1706083,No
1391050,No
941981,Yes
1517849,No
1917422,No
1401337,Yes
891470,Yes
1471141,Yes
159689,Yes
142009,No
918092,Yes
221262,Yes
1398935,No
778386,Yes
1497222,Yes
601573,Yes
1211130,No
973774,Yes
123670,Yes
840438,No
1770024,Yes
542514,Yes
1544400,Yes
1958907,Yes
405035,Yes
395792,No
1185964,No
1426126,Yes
1676030,No
867525,Yes
167940,Yes
1996180,Yes
1566788,No
1865991,No
798171,Yes
226254,No
375815,Yes
775822,Yes
1459578,Yes
1718843,Yes
871275,No
969286,No
935170,No
1388394,No
1462476,Yes
941115,No
1570644,No
773380,Yes
1466934,No
108697,Yes
1827255,No
1870148,Yes
1717322,Yes
709589,No
43807,Yes
1610757,Yes
406554,Yes
218273,No
238016,Yes
967243,No
245487,No
774671,No
30391,Yes
1365344,Yes
1600424,Yes
13836,Yes
1390969,Yes
1359313,Yes
1088697,Yes
1634861,No
554172,No
1703544,Yes
1100946,Yes
1437322,Yes
622189,Yes
1485907,Yes
1912655,No
328918,No
25241,No
771086,Yes
738331,No
112698,No
144152,No
1519463,No
470683,Yes
961511,No
1865848,No
1878326,Yes
1215078,Yes
811703,Yes
1523540,Yes
27857,Yes
1959536,Yes
1870723,No
1051286,No
259710,No
1294702,Yes
511864,Yes
1563893,Yes
1318576,Yes
1871464,Yes
1997141,Yes
1784896,No
449833,Yes
1744302,No
563983,Yes
1695598,Yes
1870578,No
733093,Yes
1156261,No
766279,No
130258,No
675321,No
516404,Yes
196868,No
1728860,No
1374137,No
1336042,No
550931,Yes
358861,No
368917,No
1815944,Yes
1399824,No
1687041,Yes
561114,Yes
564708,No
581367,Yes
1489211,No
63003,Yes
1474074,Yes
1026167,No
1586999,No
1924726,No
1779439,Yes
169556,Yes
483238,Yes
1180328,Yes
1480288,No
79375,No
812714,No
431001,Yes
1612261,No
366891,No
1340540,No
468544,No
1270556,Yes
2013458,Yes
1966895,No
1136805,Yes
1030515,No
1261756,Yes
1225902,No
1804343,Yes
1797877,Yes
755137,Yes
1939971,Yes
1190469,No
1552619,No
655640,Yes
1176953,No
133036,No
109744,No
814192,No
521973,No
934621,Yes
1790944,No
912734,No
211480,No
1911830,No
216024,No
1015692,No
1476700,No
110496,Yes
531963,Yes
2064237,Yes
1543952,Yes
285844,Yes
1728954,Yes
213275,No
1127205,Yes
1369124,Yes
786097,No
1900816,Yes
1725923,Yes
1657538,No
229170,No
1738443,No
1844253,No
1397273,Yes
557504,No
54368,No
1739806,Yes
567196,Yes
1203376,No
562474,No
753991,No
1415748,No
945957,No
1181852,No
1721640,No
1491269,Yes
1731371,Yes
311820,No
226675,Yes
1429362,Yes
657762,No
1496403,Yes
1852594,Yes
1554180,No
1868655,Yes
1232727,No
383980,Yes
366230,Yes
298411,Yes
1471236,Yes
1934357,Yes
165379,Yes
719904,No
1556003,Yes
1553735,Yes
639459,No
2048145,Yes
338152,No
386666,No
1637635,No
904231,No
398743,No
642684,No
1027632,No
579421,Yes
1028152,No
164210,No
993704,No
1741994,No
1223009,Yes
159847,No
396117,Yes
1148355,No
1487339,Yes
217992,No
1198377,No
1296646,Yes
1920959,No
1327938,Yes
975137,No
1920290,Yes
651937,Yes
1091401,Yes
1750949,No
2028488,Yes
413667,No
903654,No
222854,Yes
1684685,Yes
1751732,No
1874239,Yes
491563,Yes
984938,No
1319995,No
1320808,No
12178,Yes
543249,No
229733,Yes
521379,Yes
437848,Yes
393387,Yes
191734,No
1721226,No
1813047,No
1176774,No
1068153,No
770581,No
1485127,Yes
1732598,Yes
1397562,No
34332,Yes
150612,Yes
1651359,Yes
1592408,Yes
221840,Yes
825770,Yes
1088181,Yes
657349,No
1691028,Yes
892173,No
444685,Yes
1058886,No
32933,Yes
748321,No
427293,No
1718391,No
339607,No
1470087,Yes
939571,Yes
1428449,Yes
549719,No
1465388,No
1087145,Yes
1013755,Yes
1601183,No
1050668,No
1674662,Yes
1103572,No
1869154,Yes
744510,Yes
813388,No
1202212,No
1093159,Yes
846446,Yes
59802,Yes
1511140,No
1002287,No
494513,Yes
1629986,No
967111,No
148110,No
873119,Yes
665493,Yes
1242230,Yes
1092105,Yes
21693,Yes
851882,No
1447406,Yes
709123,No
130420,No
1929311,No
1588129,Yes
394567,No
1494267,Yes
374457,Yes
1250596,Yes
1049600,No
533867,Yes
1564602,Yes
1673977,Yes
1387874,Yes
1123492,No
20522,Yes
116008,No
1289325,No
1130741,No
867581,Yes
1224584,Yes
1201114,Yes
290585,No
1034012,No
26628,Yes
1872821,Yes
119162,Yes
1585256,No
1034194,No
1830052,No
1008655,Yes
486490,Yes
1428980,No
1761434,No
1292173,Yes
1908889,No
1914241,No
214126,Yes
1546527,Yes
838189,Yes
490001,Yes
1108176,No
616966,No
1695372,No
1068779,Yes
537831,Yes
596761,No
1470564,Yes
1514529,No
1921243,Yes
1009675,Yes
1570105,No
1633396,Yes
1457510,Yes
836605,No
25582,Yes
1478728,Yes
627514,No
137140,Yes
247456,No
1773036,Yes
1190339,No
462400,Yes
1962927,Yes
1230862,Yes
1023343,Yes
935453,Yes
871430,No
1442387,No
64233,Yes
1735786,Yes
870973,No
1301865,Yes
21161,No
1745875,Yes
1506334,Yes
1222294,Yes
455745,Yes
1051563,Yes
1357160,Yes
1227389,No
413213,No
589403,No
1123535,No
1294849,Yes
696524,Yes
1857217,No
639580,No
1413769,No
1236232,Yes
1373784,No
813154,No
395248,Yes
810521,No
1598746,No
1256576,No
1103917,Yes
1598447,No
146259,No
963744,Yes
1549845,No
1077352,No
923701,No
1061453,No
1149233,No
1467465,No
1572040,No
1241829,No
956060,No
1915523,Yes
1855863,No
1619058,No
386040,No
729016,No
978731,Yes
264086,No
81712,Yes
1152017,No
2083359,Yes
274446,No
992429,Yes
209804,No
1822952,Yes
560263,Yes
821928,No
262079,Yes
1314686,Yes
1577132,Yes
1059879,Yes
1992169,Yes
114225,No
1338359,No
1871729,Yes
454803,Yes
1978371,No
351098,No
924361,No
1576375,No
1925575,Yes
1466399,No
1444418,Yes
135698,No
280499,No
1080467,Yes
56459,No
668809,No
1767460,Yes
1875674,Yes
26265,Yes
1834961,No
1428416,No
780539,No
886353,Yes
1201270,No
89437,No
105313,No
206117,No
173283,Yes
78115,Yes
807059,No
655053,Yes
1930804,Yes
1857762,No
1618412,No
1964109,No
725746,No
67191,Yes
1581643,No
1791607,No
259567,No
1182126,No
199636,No
1674644,Yes
419730,No
745347,No
1852527,No
17767,No
1151104,No
1813867,No
81089,Yes
2000852,No
132085,No
567816,Yes
1054640,No
992849,No
1196576,No
713040,No
1667381,Yes
842269,Yes
1506591,No
935929,No
1531474,Yes
1027805,Yes
1735814,No
1217838,No
533290,Yes
1786676,Yes
1015703,Yes
1669764,Yes
933336,Yes
1617310,Yes
1926711,Yes
1799367,Yes
1799980,Yes
309250,No
732946,No
184735,No
822805,Yes
222897,Yes
995996,Yes
1798803,Yes
689351,Yes
57850,Yes
1972424,No
1708407,Yes
1621479,No
1025024,No
1813333,No
